year,qtr,area_code,area_title,annual_avg_estabs_count,annual_avg_emplvl,total_annual_wages,annual_avg_wkly_wage,avg_annual_pay
2001,A,FRD99,Unknown -- Federal Reserve District,2578,7829,358484344,881,45789
2001,A,USDPV,Total U.S.,8039498,130688049,4716404389097,694,36089
2002,A,FRD01,Boston -- Federal Reserve District,421572,6380823,259918082203,783,40734
2002,A,FRD02,New York -- Federal Reserve District,810581,12463941,562287552410,868,45113
2002,A,FRD03,Philadelphia -- Federal Reserve District,326848,5545424,205636873549,713,37082
2002,A,FRD04,Cleveland -- Federal Reserve District,427374,7604684,256647280941,649,33749
2002,A,FRD05,Richmond -- Federal Reserve District,770002,12613396,453141253581,691,35925
2002,A,FRD06,Atlanta -- Federal Reserve District,1047275,16876879,550603224305,627,32625
2002,A,FRD07,Chicago -- Federal Reserve District,876805,15685619,578563086895,709,36885
2002,A,FRD08,St. Louis -- Federal Reserve District,363738,5999032,184968036490,593,30833
2002,A,FRD09,Minneapolis -- Federal Reserve District,284909,4130946,137772928001,641,33351
2002,A,FRD10,Kansas City -- Federal Reserve District,489831,7350000,239016475615,625,32519
2002,A,FRD11,Dallas -- Federal Reserve District,537309,9819922,350350661955,686,35678
2002,A,FRD12,San Francisco -- Federal Reserve District,1793348,24789864,956847381770,742,38598
2002,A,FRD99,Unknown -- Federal Reserve District,3374,8987,443304095,949,49327
2002,A,USDPV,Total U.S.,8152967,129269519,4736196141810,705,36638
2003,A,FRD01,Boston -- Federal Reserve District,429615,6305781,264699953751,807,41977
2003,A,FRD02,New York -- Federal Reserve District,820784,12420244,572227644018,886,46072
2003,A,FRD03,Philadelphia -- Federal Reserve District,331048,5545549,212627391569,737,38342
2003,A,FRD04,Cleveland -- Federal Reserve District,430272,7534853,261203078025,667,34666
2003,A,FRD05,Richmond -- Federal Reserve District,762368,12592269,466867371966,713,37076
2003,A,FRD06,Atlanta -- Federal Reserve District,1074510,16942670,569665919475,647,33623
2003,A,FRD07,Chicago -- Federal Reserve District,880438,15525629,588081965126,728,37878
2003,A,FRD08,St. Louis -- Federal Reserve District,364108,5967646,189141250199,610,31694
2003,A,FRD09,Minneapolis -- Federal Reserve District,287932,4130918,142042793203,661,34385
2003,A,FRD10,Kansas City -- Federal Reserve District,495812,7268932,242433573663,641,33352
2003,A,FRD11,Dallas -- Federal Reserve District,542196,9769608,355501017887,700,36388
2003,A,FRD12,San Francisco -- Federal Reserve District,1861560,24849484,984735383269,762,39628
2003,A,FRD99,Unknown -- Federal Reserve District,2818,7307,370689838,976,50731
2003,A,USDPV,Total U.S.,8283461,128860890,4849598031989,724,37634
2004,A,FRD01,Boston -- Federal Reserve District,440849,6332395,279110478432,848,44077
2004,A,FRD02,New York -- Federal Reserve District,830907,12495553,605325868120,932,48443
2004,A,FRD03,Philadelphia -- Federal Reserve District,338214,5592145,223231237623,768,39919
2004,A,FRD04,Cleveland -- Federal Reserve District,427677,7556763,271712881478,691,35956
2004,A,FRD05,Richmond -- Federal Reserve District,774172,12800881,495743325704,745,38727
2004,A,FRD06,Atlanta -- Federal Reserve District,1115978,17299212,605679190413,673,35012
2004,A,FRD07,Chicago -- Federal Reserve District,890518,15577855,611285671144,755,39241
2004,A,FRD08,St. Louis -- Federal Reserve District,367018,6001603,197678334672,633,32938
2004,A,FRD09,Minneapolis -- Federal Reserve District,288207,4181037,150006047054,690,35878
2004,A,FRD10,Kansas City -- Federal Reserve District,500758,7347453,253867437315,664,34552
2004,A,FRD11,Dallas -- Federal Reserve District,552355,9892326,374983008276,729,37906
2004,A,FRD12,San Francisco -- Federal Reserve District,1891610,25277008,1043037175707,794,41264
